Car_ID,Car_Name,Brand,Segment,Fuel_Type,Model_Year,Region,Sales_Amount,Units_Sold,Profit,Rating,Mileage_kmpl,Transmission,Image_URL,Engine_CC,Top_Speed_kmph,Safety_Rating,Launch_Price_INR_Lakhs,Range_km
20,XUV300,Mahindra,Compact SUV,Diesel,2024,North,12000000,65,2600000,4.6,17,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/XUV300/11747/1729157209097/front-left-side-47.jpg,1497,180,5,11.5,0
21,Venue N Line,Hyundai,SUV,Petrol,2024,East,13000000,70,2800000,4.7,18,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Venue-N-Line/11727/1729155912841/front-left-side-47.jpg,998,180,5,12.0,0
22,Grand i10 Nios,Hyundai,Hatchback,Petrol,2024,South,7500000,50,1500000,4.3,21,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Grand-i10-Nios/11729/1729155948245/front-left-side-47.jpg,1197,165,4,7.5,0
23,Seltos,Kia,SUV,Petrol,2024,North,19000000,85,4100000,4.8,17,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Kia/Seltos/11726/1729155889469/front-left-side-47.jpg,1497,190,5,17.5,0
24,Magnite,Nissan,Compact SUV,Petrol,2023,West,8000000,45,1600000,4.4,20,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Nissan/Magnite/11741/1729157114064/front-left-side-47.jpg,999,160,4,6.5,0
25,Virtus,Volkswagen,Sedan,Petrol,2024,East,18000000,75,3700000,4.7,19,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Volkswagen/Virtus/11751/1729157219987/front-left-side-47.jpg,1498,190,5,16.2,0
26,Slavia,Skoda,Sedan,Petrol,2024,South,17500000,70,3500000,4.6,18,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Skoda/Slavia/11748/1729157176213/front-left-side-47.jpg,1498,190,5,15.5,0
27,Innova Hycross,Toyota,MPV,Hybrid,2024,North,34000000,100,7000000,4.8,23,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Innova-Hycross/11733/1729157059871/front-left-side-47.jpg,1987,175,5,34.0,525
28,Zest,Tata,Sedan,Diesel,2023,West,7000000,40,1400000,4.2,21,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Tata/Zest/11744/1729157154304/front-left-side-47.jpg,1248,160,4,7.0,0
29,Bolero Neo,Mahindra,SUV,Diesel,2024,East,11000000,55,2300000,4.5,16,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/Bolero-Neo/11740/1729157101681/front-left-side-47.jpg,1493,165,4,11.0,0
30,Glanza,Toyota,Hatchback,Petrol,2024,South,9500000,65,2000000,4.6,20,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Glanza/11732/1729157086601/front-left-side-47.jpg,1197,170,4,8.5,0
